StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Kavak;Automotive E-Commerce E-Commerce Platforms Online Portals;Mexico City Distrito Federal Mexico;KAVAK is an online platform that offers insight into buying and selling used cars.;2022-09-15;810000000;7;Debt Financing;MX;Latin America;HSBC General Catalyst Goldman Sachs Santander Bank Founders Fund
Klabin;Consumer Industrial Paper Manufacturing;São Paulo Sao Paulo Brazil;Klabin transforma matéria-prima em produtos de usos múltiplos renováveis e biodegradáveis.;2023-10-18;595000000;2;Debt Financing;BR;Latin America;The Brazilian Development Bank(BNDES)
Stone;Business Development Financial Services Information Technology Point of Sale Transaction Processing;Jardim Paulista Sao Paulo Brazil;Stone is a payments acquirer licensed by VISA and Mastercard to accredit merchants process and authorize credit card transactions.;2023-12-29;467500000;1;Debt Financing;BR;Latin America;U.S. International Development Finance Corp
Mercado Pago;E-Commerce Education Fashion FinTech Internet;Santana De Parnaíba Sao Paulo Brazil;MercadoPago is the leading Internet payment platform in the Latin American region.;2023-11-09;466000000;1;Debt Financing;BR;Latin America;Citibanamex Banco Citibank SA
V.tal;Digital Signage Internet Telecommunications;Brasil Sao Paulo Brazil;V.tal is a provides end to end digital infrastructure solutions for the telecom and internet industries.;2022-11-25;462098667;1;Private Equity;BR;Latin America;CPP Investments
D1 Stores;E-Commerce Retail;Medellín Antioquia Colombia;D1 is a Colombian retailer with around 500 stores.;2022-07-07;334000000;4;Private Equity;CO;Latin America;CPP Investments Abraaj Group Valorem Capital Group Private Markets
Enel Colombia;Energy Energy Management Energy Storage;Bogotá Distrito Especial Colombia;Enel Colombia is an energy trading company that generates markets and distributes electricity.;2024-10-10;300000000;1;Debt Financing;CO;Latin America;European Investment Bank
Banistmo;Banking Financial Services;Panama City Panama Panama;Banistmo provides banking products and services to individual and legal entities and various small and medium-sized (SME) companies.;2022-12-20;300000000;1;Debt Financing;PA;Latin America;International Finance Corporation
Central American Bank for Economic Integration (CABEI);Banking Business Development Financial Services Lending;Tegucigalpa Francisco Morazan Honduras;The Central American Bank for Economic Integration (CABEI) is a multilateral financial institution founded on December 13 1960.;2024-05-24;299500000;3;Debt Financing;HN;Latin America;Meiji Yasuda Life Insurance
Águas do Rio;Environmental Consulting Water;Rio De Janeiro Rio de Janeiro Brazil;Aguas do Rio is responsible for sanitation services in 27 municipalities in the state of Rio de Janeiro.;2023-10-05;290331946;1;Debt Financing;BR;Latin America;Proparco IDB Invest
Tigre;Building Material Construction Manufacturing;Joinville Santa Catarina Brazil;Tigre provides products for markets including construction infrastructure irrigation and industrial.;2022-02-18;262697023;1;Private Equity;BR;Latin America;Advent International
Provu;Banking Financial Services FinTech;São Paulo Sao Paulo Brazil;Provu is a fintech company that provides online payment solution such as credit and loan facilities.;2021-11-17;253155401;1;Venture - Series Unknown;BR;Latin America;Goldman Sachs
Natura Cosmeticos;Cosmetics Manufacturing;São Paulo Sao Paulo Brazil;Natura Cosméticos is a manufacturer and marketer of beauty products.;2024-07-09;243609810;1;Debt Financing;BR;Latin America;International Finance Corporation IDB Invest
Gasoducto de Morelos;Oil and Gas Transportation;Miguel Hidalgo Distrito Federal Mexico;Gasoducto de Morelos offer natural gas transportation including the measurement of quality and quantity of the product.;2024-01-12;235000000;1;Debt Financing;MX;Latin America;Sumitomo Mitsui Banking Corporation Grupo Mega Inbursa Monex Banco Sabadell Mexico
Metro de Bogotá;Public Transportation Railroad Transportation;Bogotá Distrito Especial Colombia;Metro de Bogotá is a public transportation company that builds operates and maintains metro and train lines.;2023-07-17;225000000;1;Debt Financing;CO;Latin America;CAF
VELVET;Financial Services Information Technology Venture Capital;São Paulo Sao Paulo Brazil;VELVET is an investment company that offers the liquidity solution for late-stage venture capital of emerging markets.;2022-02-10;200000000;2;Venture - Series Unknown;BR;Latin America;Global Founders Capital Headline Yolo Investments YOLO Ventures
CargoX;Freight Service Information Services Information Technology Marketplace Trading Platform Transportation;São Paulo Sao Paulo Brazil;CargoX is a technology freight broker that provides shipping companies with a smart and efficient solution.;2021-11-10;200000000;9;Series F;BR;Latin America;Tencent Goldman Sachs Inter American Development Bank BTG Pactual Blackstone Group
Covalto;Banking Commercial Lending Credit Credit Cards Finance Financial Services FinTech Small and Medium Businesses;Mexico City Distrito Federal Mexico;Covalto is a leading digital banking and services platform for SMEs in Mexico.;2022-10-17;200000000;7;Debt Financing;MX;Latin America;Goldman Sachs Point72 Ventures Kaszek Victory Park Capital FIRA
NextBank International;Banking;San Juan NA - Puerto Rico Puerto Rico;Netbank International providing us with further financial flexibility to grow NextBank’s business lines.;2022-10-11;200000000;1;Debt Financing;PR;Latin America;Savi Capital Partners
Lulo Bank;Banking Financial Services FinTech;Bogotá Distrito Especial Colombia;Lulo Bank is a mobile banking app that provides money transfers and other financial services.;2022-10-10;199835939;1;Series D;CO;Latin America;International Holding Company
LM Frotas;Facilities Support Services Transportation;Salgado Bahia Brazil;LM Frotas has been operating in the outsourcing and leasing of corporate fleets becoming the largest and most specialized companies.;2022-10-06;191501178;1;Debt Financing;BR;Latin America;
Olist;E-Commerce E-Commerce Platforms Marketplace Retail Small and Medium Businesses;Curitiba Parana Brazil;Olist is an SMB commerce enabler ecosystem that specializes in the fields of logistics and capital.;2021-12-15;186000000;10;Series E;BR;Latin America;500 Global Goldman Sachs FJ Labs SoftBank Endeavor Catalyst
Banco de Occidente S.A.;Financial Services;Santiago De Cali Valle del Cauca Colombia;Banco de Occidente S.A. is a provider of commercial banking products and services.;2024-05-14;175000000;2;Debt Financing;CO;Latin America;IDB Invest Merrill Lynch FinDev Canada BBVA Securities Inc
Comision Federal de Electricidad;Electrical Distribution;Mexico City Distrito Federal Mexico;Federal Electricity Commission is a Mexican government company.;2024-05-08;161202788;1;Debt Financing;MX;Latin America;Agence Française de Développement
Vero Internet;Internet Residential Telecommunications;São Paulo Sao Paulo Brazil;Vero Internet is a telecommunication company that provides fiber internet IP TV and broadband internet service via the platform.;2024-10-11;160390640;2;Debt Financing;BR;Latin America;
Hospitales MAC;Health Care Hospital Medical;Puebla Puebla Mexico;Hospitales MAC offers medical health care specialist treatment and consultation services.;2023-07-25;160000000;1;Private Equity;MX;Latin America;General Atlantic
Davivienda International;Banking Customer Service Financial Services;Colômbia Sao Paulo Brazil;Davivienda International is a financial services-based company.;2022-10-28;160000000;1;Debt Financing;BR;Latin America;
Produbanco - Grupo Promerica;Financial Services;Quito Pichincha Ecuador;Produbanco - Grupo Promerica is Offer financial services and products that respond to the local needs of our clients.;2023-03-29;160000000;2;Debt Financing;EC;Latin America;International Finance Corporation BlueOrchard Finance S A FinDev Canada
CloudWalk;Credit Cards Financial Services FinTech;São Paulo Sao Paulo Brazil;The interplanetary payment network;2021-11-17;150000000;6;Series C;BR;Latin America;Plug and Play Coatue DST Global Valor Capital Group FIS
Nowports;Freight Service Logistics SaaS Supply Chain Management;Monterrey Nuevo Leon Mexico;Nowports is a digital freight forwarder that automates the supply chain process of companies.;2022-05-24;150000000;8;Series C;MX;Latin America;Y Combinator Tencent Tiger Global Management DST Global Foundation Capital
Nu Colombia;Credit Cards;Bogotá Distrito Especial Colombia;Nu Colombia issue credit card services.;2024-04-08;150000000;1;Debt Financing;CO;Latin America;U.S. International Development Finance Corp
Tangelo;Credit Financial Services;Mexico City Distrito Federal Mexico;Tangelo is a Latin American financial technology company specializing in alternative credit.;2022-04-05;150000000;1;Debt Financing;MX;Latin America;HSBC
Calidda;Automotive Transportation;San Borja Lima Peru;Cálidda is the Peruvian company that is responsible for the public service of natural gas distribution in Lima and Callao.;2022-07-19;150000000;2;Debt Financing;PE;Latin America;IDB Invest CAF
Creditas;Auto Insurance Automotive Banking Consumer Lending Financial Services;São Paulo Sao Paulo Brazil;Creditas is a consumer loaning startup that operates a digital platform providing secured loans and low interest rates.;2022-07-07;150000000;12;Convertible Note;BR;Latin America;International Finance Corporation Fidelity SoftBank SoftBank Vision Fund QED Investors
ASAAS;Billing FinTech Information Technology Payments Software;Joinville Santa Catarina Brazil;Asaas helps individuals and companies automate financial processes and improve their relationship with customers.;2024-10-08;149207562;11;Series C;BR;Latin America;SoftBank TM3 Capital Endeavor Catalyst Bond Bradesco BBI
Xepelin;Finance Financial Services FinTech SaaS Small and Medium Businesses;Mexico City Distrito Federal Mexico;Xepelin provides digital financial services for small and medium-sized business.;2022-09-07;140000000;8;Debt Financing;MX;Latin America;Goldman Sachs FJ Labs Endeavor Catalyst Cathay Innovation PayPal Ventures
Addiante;Automotive Rental;Curitiba Parana Brazil;Addiante Locação de Grosso specializes in renting trucks implements and machinery. Explore our rental options.;2024-08-21;137099286;2;Debt Financing;BR;Latin America;Gerdau Randoncorp
Facily;Consumer E-Commerce Marketplace Social Shopping;São Paulo Sao Paulo Brazil;Facily is a social commerce marketplace that focuses on low-ticket items.;2021-12-23;135000000;7;Series D;BR;Latin America;Tiger Global Management Founders Fund Canary Goodwater Capital monashees
Aegea Saneamento;Environmental Consulting Water Water Purification;São Paulo Sao Paulo Brazil;Aegea is a private sector sanitation company in Brazil.;2024-07-01;132590825;2;Debt Financing;BR;Latin America;
Terpel;Energy Industrial Oil and Gas;Bogotá Distrito Especial Colombia;Terpel is a Colombian oil and gas company.;2022-11-22;130000000;1;Debt Financing;CO;Latin America;Scotiabank
Beontag;Industrial Manufacturing Packaging Services;São Paulo Sao Paulo Brazil;Beontag is a provider of synthetic papers self-adhesives special films tag and label conversion.;2023-01-18;129575360;1;Debt Financing;BR;Latin America;Deutsche Bank
Compañía Minera Raura;Mineral Mining;San Borja Lima Peru;Compañía Minera Raura operates as a polymetallic mining company.;2022-09-27;126000000;1;Debt Financing;PE;Latin America;Citi Santander Bank Interbank ICBC International Bci Bank
Contabilizei;Accounting Financial Services FinTech Information Technology SaaS;Curitiba Parana Brazil;Contabilizei is a financial back-office platform for SMBs providing business formation tax filing and accounting.;2024-10-11;125000000;9;Venture - Series Unknown;BR;Latin America;Warburg Pincus International Finance Corporation Goldman Sachs SoftBank Quona Capital
Celcoin;Banking Financial Services FinTech Payments Service Industry;Barueri Sao Paulo Brazil;Celcoin - banking is now your business.;2024-06-18;125000000;7;Series C;BR;Latin America;Summit Partners BTG Pactual Sinqia Vox Capital Green Rock
Betterfly;FinTech InsurTech Wellness;Santiago Region Metropolitana Chile;Betterfly is a purpose-driven collective wellbeing platform that converts healthy activities into charitable donations.;2022-02-01;125000000;6;Series C;CL;Latin America;DST Global Bio Ritmo QED Investors Lightrock Endeavor Catalyst
isaac;Education Financial Services Software;São Paulo Sao Paulo Brazil;Isaac is an all-in-one platform that simplifies school management;2021-11-09;125000000;2;Series B;BR;Latin America;SoftBank Kaszek General Atlantic Endeavor Catalyst
Kapital;Financial Services FinTech Productivity Tools Small and Medium Businesses Wealth Management;Mexico City Distrito Federal Mexico;Kapital uses data and artificial intelligence to provide SMEs with an account to see and manage their business cash flows in real-time.;2023-12-14;125000000;9;Debt Financing;MX;Latin America;Alumni Ventures Y Combinator Accial Capital Soma Capital Sivo
Banco de Bogotá;Financial Services;Bogotá Distrito Especial Colombia;Banco de Bogotá is the first commercial bank established in Colombia.;2024-07-25;124538582;1;Debt Financing;CO;Latin America;
Baubap;Consumer Lending FinTech Micro Lending;Mexico City Distrito Federal Mexico;Baubap is a developer of a microlending financial platform that offers personal loans.;2024-02-28;120000000;11;Debt Financing;MX;Latin America;500 Global Y Combinator Goodwater Capital Seedstars Leonis Investissement
Open Co (Brazil);Consumer Lending Financial Services FinTech;São Paulo Sao Paulo Brazil;Alternative Online Lending FinTech online credit Personal financial management;2021-12-15;115000000;2;Series D;BR;Latin America;Goldman Sachs International Finance Corporation FJ Labs IFC Scale-Up Ventures
QMC Telecom;Network Hardware Telecommunications Wireless;São Paulo Sao Paulo Brazil;QMC Telecom provides tower for carriers that offer wireless cellular telecommunication services in Puerto Rico.;2024-05-09;115000000;6;Debt Financing;BR;Latin America;Accel Proparco IDB Invest Deutsche Bank Securities Peterson Partners
RappiPay;Credit Cards Financial Services Payments Prepaid Cards;Bogotá Distrito Especial Colombia;RappiPay is a financial service that provides near-field communication-based prepaid cards and wallets for consumers.;2022-09-16;113497897;1;Debt Financing;CO;Latin America;Davivienda Corredores Banco de Bogotá GRUPO BANCOLOMBIA Itaú Colombia
Dock;Credit Cards Financial Services FinTech Information Technology Payments;São Paulo Sao Paulo Brazil;Dock is a provider of a financial technology company that integrates card issuing and core banking services.;2022-05-12;110000000;4;Private Equity;BR;Latin America;Temasek Holdings Lightrock Viking Global Investors Riverwood Capital Visa Ventures
Pismo;Banking Cloud Computing PaaS Payments Software;São Paulo Sao Paulo Brazil;Pismo is a technology company providing an all-in-one processing platform for banking payments and financial markets infrastructure.;2021-10-19;108000000;2;Series B;BR;Latin America;Amazon Accel Headline PruVen Capital Falabella Ventures
Stori;Apps Financial Services FinTech Information Services Information Technology;Mexico City Distrito Federal Mexico;Stori is a fintech company providing digital financial services to underserved customers.;2024-08-06;107000000;11;Debt Financing;MX;Latin America;General Catalyst Goldman Sachs Lightspeed Venture Partners Notable Capital Davidson Kempner
CERC Central de Recebíveis S.A.;Financial Services;São Paulo Sao Paulo Brazil;CERC is the winning platform for Financial Market Infrastructure in Brazil assembling tech-enabled solutions to foster credit access.;2022-10-06;105325648;7;Venture - Series Unknown;BR;Latin America;2TM Endeavor Catalyst Valor Capital Group G2D Investments Mubadala Capital Ventures
Nelogica;Communications Infrastructure Developer Tools FinTech Information Technology Software Trading Platform Transaction Processing;Porto Alegre Rio Grande do Sul Brazil;Nelogica develops trading software and platforms of assets in the financial market.;2020-11-26;103058012;1;Series A;BR;Latin America;Endeavor Catalyst Vulcan Capital Crescera Investimentos (f/k/a Bozano Investimentos)
Solides Tecnologia;Bookkeeping and Payroll Human Resources Information Technology SaaS Skill Assessment Software;Belo Horizonte Minas Gerais Brazil;#1 HRTech for SMB in Brazil. Solides provide a complete HCM with People Analytics and AI to increase performance and reduce turnover costs;2022-02-17;102469396;3;Series B;BR;Latin America;Warburg Pincus Google for Startups Bossanova Investimentos DGF Investimentos
CrediQ;Consumer Electronics Financial Services;San Salvador San Salvador El Salvador;CrediQ offers vehicle financing services to customers.;2022-02-07;101500000;2;Debt Financing;SV;Latin America;Altra Investments
Loft;Marketplace Property Management Real Estate;São Paulo Sao Paulo Brazil;Loft is a marketplace for residential real estate that helps manage the home buying and selling process.;2023-08-08;100000000;7;Venture - Series Unknown;BR;Latin America;Thrive Capital Andreessen Horowitz Silver Lake GIC FJ Labs
Clip;E-Commerce FinTech Mobile Mobile Payments Payments;Mexico City Distrito Federal Mexico;Clip is the leading digital payments and commerce enablement platform in Mexico.;2024-06-18;100000000;13;Venture - Series Unknown;MX;Latin America;HSBC 500 Global Accion Google for Startups Morgan Stanley
unico IDtech;Consulting Identity Management Information Technology Software;São Paulo Sao Paulo Brazil;Unico IDtech is a Brazilian identification technology company that offers facial biometrics and digital admission solutions.;2022-04-14;100000000;4;Series D;BR;Latin America;General Atlantic GS Growth SOFTBANK Latin America Ventures Igah Ventures big_bets
Flash;Employee Benefits Payments Service Industry Software;São Paulo Sao Paulo Brazil;Flash focuses on food vouchers in Brazil creating an all in one instrument leveraging a MasterCard a daily used App and an HR platform;2022-03-09;100000000;4;Series C;BR;Latin America;Tencent Tiger Global Management Endeavor Catalyst monashees Global Founders Capital
Kushki;E-Commerce Financial Services FinTech Payments;Quito Pichincha Ecuador;Kushki offers clients an integrated payments platform and omnichannel solutions for e-commerce m-commerce and physical stores.;2022-06-07;100000000;6;Series B;EC;Latin America;Kaszek Clocktower Technology Ventures Conexo Ventures DILA Capital SoftBank Vision Fund
FORUM;Automotive Finance Financial Services;Las Condes Region Metropolitana Chile;FORUM specializes in automotive financing grants credit and leases to individuals and companies.;2024-06-12;100000000;1;Debt Financing;CL;Latin America;
Credivalores-Crediservicios;Credit Finance Financial Services FinTech;Bogotá Distrito Especial Colombia;Credivalores-Crediservicios S.A.S. provides consumer loans in Colombia;2022-05-16;100000000;3;Debt Financing;CO;Latin America;ACON Investment Gramercy Funds Management
Banco Promerica Guatemala;Banking Financial Services;Guatemala City Guatemala Guatemala;Banco Promerica Guatemala provides banking and commercial services.;2024-06-06;100000000;1;Debt Financing;GT;Latin America;Bladex
Banco Industrial;Advice Finance Financial Services;Guatemala City Guatemala Guatemala;Banco Industrial is a financial institution that offers financial services.;2022-11-02;100000000;1;Debt Financing;GT;Latin America;Central American Bank for Economic Integration (CABEI)
Scout Clean Energy;Construction Energy Environmental Consulting Renewable Energy;Colorado Zacatecas Mexico;Scout Clean Energy is a renewable energy company that operates and develops wind solar and renewable power projects.;2024-05-06;100000000;2;Debt Financing;MX;Latin America;Rabobank Keybank
Plata Card;Credit Cards Financial Services Mobile Apps;Mexico City Distrito Federal Mexico;Plata Card is a financial app for credit cards that offers products and rewards to customers.;2024-05-07;100000000;1;Debt Financing;MX;Latin America;Fasanara Capital
Nelo;Finance Financial Services FinTech Information Technology Mobile Apps Mobile Payments;Mexico City Distrito Federal Mexico;Nelo increases the buying power for consumers in LatAm. Backed by Two Sigma Ventures Homebrew Susa Ventures and more.;2022-10-19;100000000;3;Debt Financing;MX;Latin America;Gaingels Susa Ventures Victory Park Capital Karman Ventures (fka Moving Capital) Homebrew
Fairplay;E-Commerce Financial Services FinTech Information Technology Internet;Mexico City Distrito Federal Mexico;Fairplay is a performance-based financing platform that supports and helps e-Commerce companies to grow.;2023-04-24;100000000;5;Debt Financing;MX;Latin America;Speedinvest QED Investors Elevar Equity Community Investment Management Nazca Ventures
Klar;Credit Cards Debit Cards Financial Services FinTech;Mexico City Distrito Federal Mexico;Klar is a digital bank that provides banking services including credit cards and loan through an app-based platform.;2023-08-15;100000000;8;Debt Financing;MX;Latin America;International Finance Corporation FJ Labs Quona Capital IFC Endeavor Catalyst
R2;Embedded Systems Financial Services FinTech Lending Small and Medium Businesses;Mexico City Distrito Federal Mexico;R2 is an embedded lending platform that offers capital for businesses.;2023-05-05;100000000;4;Debt Financing;MX;Latin America;General Catalyst Y Combinator Gradient PayU GPO Community Investment Management
Kettera Financial Solutions;Financial Services Lending;Lomas De Chapultepec Distrito Federal Mexico;"Kettera Financial Solutions is a US based alternative lending platform focused on small and medium enterprises (""SMEs"") in Latin America.";2023-02-27;100000000;1;Debt Financing;MX;Latin America;Arena Investors
Cora;B2B Banking Financial Services FinTech Payments;São Paulo Sao Paulo Brazil;Cora is a fintech company that provides digital accounts for small and medium businesses.;2021-09-03;99999969;7;Venture - Series Unknown;BR;Latin America;Tencent Greenoaks Google for Startups Tiger Global Management Kaszek
Eurofarma;Biotechnology Health Care Medical Pharmaceutical;São Paulo Sao Paulo Brazil;Eurofarma is a Brazilian multinational pharmaceutical company.;2023-05-29;99619454;2;Debt Financing;BR;Latin America;International Finance Corporation Santander
Yamaha Motor do Brasil;Automotive Machinery Manufacturing Manufacturing;Giradota Antioquia Colombia;Yamaha Motor do Brasil is a manufacturer and supplier of motorcycles parts and accessories along with after sales services.;2023-10-04;96972518;1;Debt Financing;CO;Latin America;
Gupy;Artificial Intelligence (AI) Human Resources Machine Learning Recruiting Software;São Paulo Sao Paulo Brazil;Gupy is a technology company that offers recruitment selection and admission solutions for HR.;2022-01-31;94257814;6;Series B;BR;Latin America;Wayra SoftBank Endeavor Catalyst Canary Valor Capital Group
Selected Society Group;Digital Entertainment Independent Music Media and Entertainment Music Label Music Streaming Publishing;Luque Central Paraguay;Selected Society Group is an independent music entertainment company.;2024-09-19;90000000;2;Private Equity;PY;Latin America;Selected Society Group Ventures
Jusbrasil;Big Data Internet Legal Legal Tech;Salvador Sao Paulo Brazil;Jusbrasil connects consumers and attorneys through legal information.;2023-10-30;86100826;5;Venture - Series Unknown;BR;Latin America;Founders Fund monashees Bertelsmann Igah Ventures
OCN;Automotive FinTech Subscription Service;Cuajimalpa Tabasco Mexico;OCN offers online car rentals with all-inclusive subscription services.;2024-07-15;86000000;6;Series A;MX;Latin America;Caravela Capital Collide Capital i80 | Group Great North Ventures Sun Moritz
Genneia;Energy Renewable Energy;Olivos Buenos Aires Argentina;Genneia operates as a renewable energy generation company.;2023-02-23;85000000;1;Debt Financing;AR;Latin America;FMO FinDev Canada
99 Minutos;Delivery Service E-Commerce Internet Logistics;Mexico City Distrito Federal Mexico;99 Minutos is an e-commerce delivery company that operates in Latin America.;2022-03-02;82000000;6;Series C;MX;Latin America;Y Combinator Liquid 2 Ventures Soma Capital Oak HC/FT Endeavor Catalyst
Valoreo;Consumer Goods E-Commerce;Mexico City Distrito Federal Mexico;Valoreo acquires operates and scales outstanding e-commerce brands.;2022-02-22;80000000;3;Series B;MX;Latin America;FJ Labs L Catterton Kaszek Upper90 10x Value Partners
Vai.Car;Apps Information Technology Rental;São Paulo Sao Paulo Brazil;Vai.Car is a startup from Brazil that allows users to rent one of its cars through its app.;2020-02-28;80000000;3;Seed;BR;Latin America;XP Investimentos Bossanova Investimentos BoostLAB
Crediclub;Financial Services Micro Lending Personal Finance;Monterrey Nuevo Leon Mexico;Crediclub offers investment opportunities and business loans.;2022-05-19;80000000;1;Private Equity;MX;Latin America;International Finance Corporation L Catterton Sarona Partners
Merama;Consumer Goods E-Commerce Finance Retail;Mexico City Distrito Federal Mexico;Merama provides funding expertise and resources to help digitally native brands grow and expand their presence.;2024-04-25;80000000;6;Debt Financing;MX;Latin America;SoftBank JP Morgan Valor Capital Group monashees Balderton Capital
CRMBonus;CRM Marketing;São Paulo Sao Paulo Brazil;CRMBonus is a CRM consultancy and Giftback platforms.;2024-05-14;77986391;2;Series B;BR;Latin America;Bond Valor Capital Group Riverwood Capital Industry Ventures Igah Ventures
GoodStorage;Consulting Warehousing;São Paulo Sao Paulo Brazil;GoodStorage is a company that offers urban storage solutions with the objective of contributing to a integrated and prosperous life.;2022-07-05;75000000;1;Private Equity;BR;Latin America;Evergreen Advisors
Finkargo;Financial Services FinTech Small and Medium Businesses Software;Bogotá Distrito Especial Colombia;Finkargo is a financial service company that provides a trade financing platform for SMEs.;2024-09-13;75000000;5;Debt Financing;CO;Latin America;MAYA Capital Pear VC QED Investors Quona Capital Community Investment Management
Kiwi;Financial Services FinTech Lending Mobile Apps Personal Finance;San Juan NA - Puerto Rico Puerto Rico;Kiwi helps provides tools and resources to establish credit and secure access to capital.;2023-05-22;75000000;4;Debt Financing;PR;Latin America;i80 | Group Advent-Morro Equity Partners Altio Capital Independent Capital LLC
Grupo Ruba;Building Maintenance Construction Residential;Ciudad Juárez Mexico Mexico;Grupo Ruba is a real estate company specializing in the development of low-income and middle-income housing.;2022-08-09;74057836;1;Debt Financing;MX;Latin America;IDB Invest
Rota do Pará;Construction;Pará Bahia Brazil;Rota do Pará is the concessionaire responsible for the operation and maintenance of portions of highways.;2024-10-03;73509143;1;Debt Financing;BR;Latin America;
Listo;Financial Services Information Technology Payments SaaS;São Paulo Sao Paulo Brazil;Listo stays abreast of the latest technological trends in offering solutions that help with payments and the management of the company.;2021-10-05;73032682;1;Debt Financing;BR;Latin America;
NotCo;Alternative Protein Artificial Intelligence (AI) Food and Beverage Food Processing;Santiago Region Metropolitana Chile;NotCo is a food tech company that uses artificial intelligence to create food from plants.;2022-12-12;70000000;7;Series D;CL;Latin America;General Catalyst IndieBio L Catterton Tiger Global Management Endeavor Catalyst
Take Blip;Artificial Intelligence (AI) Chatbot Customer Service Information and Communications Technology (ICT) Marketing Automation Messaging Natural Language Processing Sales Automation Text Analytics;São Paulo Sao Paulo Brazil;Take Blip is a platform for developing chatbots to help companies introduce their brands on messaging applications.;2022-06-07;70000000;2;Series B;BR;Latin America;Warburg Pincus Hugo Barra
Aplazo;Credit E-Commerce FinTech Internet Payments;Mexico City Distrito Federal Mexico;Aplazo is a payment network that offers payment solutions and merchant tools to help merchants sell more and grow their brands.;2024-05-13;70000000;8;Series B;MX;Latin America;Village Capital Kaszek Oak HC/FT Picus Capital QED Investors
Banco Agricola;Financial Services;San Salvador San Salvador El Salvador;Banco Agricola is a Financial services provider. They work in: -Digital: channels products and services with digital access.;2022-08-08;70000000;2;Debt Financing;SV;Latin America;International Finance Corporation
Vitro;Manufacturing Packaging Services;Monterrey Nuevo Leon Mexico;Vitroa glass is a NA glass manufacturing company.;2022-04-14;70000000;1;Debt Financing;MX;Latin America;BBVA
Megalabs;Manufacturing Medical Pharmaceutical;Montevideo NA - Uruguay Uruguay;Megalabs is a pharmaceutical company that specializes in manufacturing injectables and antibiotics products.;2023-02-03;70000000;1;Debt Financing;UY;Latin America;Credibly Neutral Robot Ventures Figment Capital Folius Ventures Vitalik Buterin
360 Industrial Parks;Commercial Leasing Real Estate;Ramos Arizpe Coahuila de Zaragoza Mexico;360 industrial parks is a real estate agency that specializes in building leasing and administrative services.;2024-08-14;67400000;1;Debt Financing;MX;Latin America;BBVA en México
Oakberry;Food and Beverage Organic Food Restaurants;São Paulo Sao Paulo Brazil;Oakberry is a restaurant that promotes healthy and organic food production and delivery.;2023-12-22;66886191;2;Series C;BR;Latin America;BTG Pactual Kilima Asset
MODERN LOGISTICS;Air Transportation Delivery E-Commerce Logistics Supply Chain Management;Jundiaí Sao Paulo Brazil;Modern Logistics is the first one-stop logistics solution in Brazil the only door-to-door company that have its own AIR FLEET;2020-04-06;65000000;3;Debt Financing;BR;Latin America;H.I.G. Capital DXA Invest
GDSun;Clean Energy Energy Renewable Energy Solar;São Paulo Sao Paulo Brazil;GDSun operates in distributed generation with a focus on solar energy.;2022-08-30;63433200;3;Debt Financing;BR;Latin America;Itaú BBA International plc Franklin Templeton UK Servtec
La Haus;Information Technology Marketplace Real Estate Residential;Medellín Antioquia Colombia;La Haus is a residential marketplace used to help people find an ideal home.;2022-06-21;62000000;10;Series C;CO;Latin America;StepStone Group FJ Labs 75 & Sunny NFX Endeavor Catalyst
SuperBAC;Agriculture Biotechnology Sustainability Water Purification;São Paulo Sao Paulo Brazil;SuperBAC is a biotechnological company that offers agricultural solutions for nutritional balance for small and large plants and crops.;2023-07-04;61969374;2;Private Equity;BR;Latin America;Armilar Venture Partners XP Investimentos
Nomad;Finance Financial Services FinTech;São Paulo Sao Paulo Brazil;Nomad is a fintech company that provides financial services such as a bank account and an investment platform.;2023-08-22;60749651;5;Series B;BR;Latin America;Google for Startups Tiger Global Management Abstract ONEVC Spark Capital
Digibee;B2B Information and Communications Technology (ICT) PaaS SaaS;São Paulo Sao Paulo Brazil;Digibee is an enterprise integration platform-as-a-service (eiPaaS) that accelerates digital transformation efforts.;2023-06-02;60492408;8;Series B;BR;Latin America;Goldman Sachs Asset Management G2D Investments K Fund Staged Ventures Upload Ventures
Clara;Billing Credit Cards Enterprise Software Finance Financial Services FinTech Payments Software;São Paulo Sao Paulo Brazil;Clara is a LatAm business credit card payment solution and expense tracking platform.;2023-04-27;60000000;8;Series B;BR;Latin America;General Catalyst Goldman Sachs Gaingels Coatue BoxGroup
Solinftec;Agriculture AgTech Enterprise Software Farming Industrial Automation Robotics Sustainability;Araçatuba Sao Paulo Brazil;Solinftec's mission is to build technology to create productive and responsible agriculture for the future of the planet.;2022-05-02;60000000;5;Private Equity;BR;Latin America;TPG AgFunder Itaú BBA International plc The Lightsmith Group Unbox Capital
VEMO;Clean Energy CleanTech Fleet Management;Ciudad Hidalgo Michoacan de Ocampo Mexico;VEMO is a cleantech with an innovative model that integrates the entire clean mobility ecosystem.;2024-02-08;60000000;1;Debt Financing;MX;Latin America;OIC
iCred;Financial Services FinTech Online Portals;Aracaju Sergipe Brazil;iCred is a smart credit and online fintech platform that offers personal credit and loan services for individuals.;2023-01-09;57086304;1;Venture - Series Unknown;BR;Latin America;
