StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
GOelegido;App Marketing Software;Medellín Antioquia Colombia;GOelegido is the first designated driver’s app in real time in LATAM connecting drivers with people and bussines in need of one.;2022-12-29;250000;1;Pre-Seed;CO;Latin America;Newchip Accelerator
Porter Metrics;Computer Marketing Software;Manizales Caldas Colombia;Porter Metrics has developed an automated solution for generating social media reports in minutes.;2022-06-18;250000;3;Pre-Seed;CO;Latin America;Techstars The Ark Fund
XELL;Mobile Payments Payments Point of Sale Retail Technology;Medellín Antioquia Colombia;Advanced payment & sales platform with analytics for small/medium retail businesses. More than a processor it streamlines operations.;2022-02-22;250000;2;Pre-Seed;CO;Latin America;
IntegraGV;Consulting Financial Services FinTech;Bogotá Distrito Especial Colombia;IntegraGV helps the corporates by providing strategic financial and legal consultation.;2022-03-31;250000;1;Pre-Seed;CO;Latin America;Newchip Accelerator
Placis;FinTech Generation Z Marketplace Sharing Economy;Manizales Caldas Colombia;An online platform for students to save money;2023-07-20;250000;2;Pre-Seed;CO;Latin America;
Not That Store;E-Commerce Green Consumer Goods Marketplace Sustainability;Quito Pichincha Ecuador;Not That Store is an online marketplace that improves accessibility to sustainable products while promoting their buying and selling.;2022-09-08;250000;1;Pre-Seed;EC;Latin America;Newchip Accelerator
Wayakit;Biotechnology;Mexico City Distrito Federal Mexico;Wayakit develops biotech-based formulations for hygiene.;2020-01-01;250000;1;Pre-Seed;MX;Latin America;KAUST Innovation Fund
Klopp;Apps FinTech Personal Finance;Mexico City Distrito Federal Mexico;Klopp is a purpose-driven digital financial membership club that helps members throughout their financial journey.;2022-10-13;250000;3;Pre-Seed;MX;Latin America;Newchip Accelerator G2 Momentum Capital
Yoko Seguros;Health Care Health Insurance Insurance InsurTech Life Insurance;Monterrey Nuevo Leon Mexico;Insurance adapted to economic and everyday life needs covering what is needed at a very low cost.;2022-07-15;250000;1;Pre-Seed;MX;Latin America;Newchip Accelerator
AlmaVibes;Fashion;Tepoztlán Morelos Mexico;AlmaVibes makes shoes that are biodegradable and give back to the earth once discarded.;2022-03-04;250000;1;Pre-Seed;MX;Latin America;Newchip Accelerator
Máximo;Financial Services FinTech;Lima Lima Peru;Máximo is a tech company building a banking retail for the new generations.;2020-10-05;250000;1;Pre-Seed;PE;Latin America;INCA VENTURES
Blooz;Delivery Delivery Service Software Transportation;Lima Lima Peru;Blooz is a software development company that creates own last mile delivery company in 2 minutes.;2021-12-09;250000;1;Pre-Seed;PE;Latin America;Newchip Accelerator
Beauty 911;Beauty Consulting Health Care Mobile Apps Service Industry;San Juan NA - Puerto Rico Puerto Rico;Beauty 911 is a mobile app that helps its users to fix online appointments for all types of home beauty services.;2021-12-31;250000;1;Pre-Seed;PR;Latin America;Newchip Accelerator
88i Seguradora Digital S.A.;Auto Insurance Blockchain Commercial Insurance Financial Services FinTech Health Insurance Insurance InsurTech Life Insurance Property Insurance;São Paulo Sao Paulo Brazil;88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance;2022-12-20;250000;7;Grant;BR;Latin America;DOMO.VC Hannover Re Scor The Hashgraph Association Dash Investment Foundation
The Crawford Child Advocacy Center;Child Care Non Profit;Colorado Zacatecas Mexico;The Crawford Child Advocacy Center offers an interdisciplinary approach to prevent child abuse.;2024-04-20;250000;1;Grant;MX;Latin America;Ent Credit Union
Crecy;Big Data Cryptocurrency FinTech Lending;Mexico City Distrito Federal Mexico;The first crypto-backed credit card in LATAM.;2023-04-01;250000;5;Debt Financing;MX;Latin America;Mucker Capital Platanus 500 Startups: Latam Ian Lee Alec Dickinson
MAIA Wellness LLC;Wellness;Buenos Aires Distrito Federal Argentina;Te guiamos desde donde estás hasta donde querés ir. Hacemos foco en las 5 áreas del bienestar.;2022-11-01;250000;1;Angel;AR;Latin America;
taxly;Software;São Paulo Sao Paulo Brazil;Tax is complex. We make it simple.;2024-01-01;247224;2;Pre-Seed;BR;Latin America;ACE Ventures Thiago Silveira
Re-Synth International;Industrial Oil and Gas Sustainability;San Juan NA - Puerto Rico Puerto Rico;Re-Synth International develops chemical and mechanical processes to enhance the heating properties of fuels.;2022-03-09;245692;1;Grant;PR;Latin America;National Science Foundation
