Ainwater;Software;Osorno Los Lagos Chile;AIbased SaaS for water treatment plant control and optimization;2024-08-28;537000;1;PreSeed;Private;CL;Arpegio Sudlich Capital Imagine Brian Oduor Buildtech Ventures
Xpendit;FinTech SaaS;Las Condes Region Metropolitana Chile;SaaS B2B for Expense Management in Latin America;2024-01-03;450000;1;PreSeed;Private;CL;Minga Ventures
Relif;FinTech;Santiago Region Metropolitana Chile;Relif is a financial health platform for employees in LatAm;2024-07-18;400000;2;Angel;Private;CL;ChileGlobal Angels
Drovid;Software;Santiago Region Metropolitana Chile;PaaS diseñada para la protección contra incendios forestales mediante el monitoreo de bosques con inteligencia artificial;2024-07-11;350000;6;Nonequity Assistance;Private;CL;Google for Startups CORFO Agencia Nacional de Investigación y Desarrollo Cristian Rodrigo León Ibarra
HRX Talent;Analytics Human Resources Predictive Analytics SaaS;Santiago Region Metropolitana Chile;People Analytics SaaS Platform for Human Resources;2024-05-02;180000;1;Seed;Private;CL;INNZPIRA
ComexPoint;ECommerce Freight Service Insurance Last Mile Transportation Logistics Shipping Software Supply Chain Management Transportation;Viña Del Mar Valparaiso Chile;ComexPoint connects global trade players enabling importers/exporters to choose fair options and know all costs and processes in advance;2024-03-04;160000;1;PreSeed;Private;CL;
Andes Aerospace;Aerospace Embedded Software Hardware Telecommunications;Antofagasta Antofagasta Chile;COTS for satellites and telecommunication systems;2024-04-10;141879;1;Grant;Private;CL;
Credibid;Banking Financial Services Mortgage;Santiago Region Metropolitana Chile;Credibid is a platform that uses an auction method to link consumers and lenders to find acceptable mortgage loan offers;2024-04-01;130000;1;PreSeed;Private;CL;
Salesia;Information Technology Software;Santiago Region Metropolitana Chile;Salesia is an AIdriven sales training platform to improve salespersonclient interactions with simulated experiences and coaching;2024-01-01;100000;1;Angel;Private;CL;
Remote Waters;Manufacturing Solar Water Water Purification;Santiago Region Metropolitana Chile;Remote Waters provides and maintains water purification systems for remote communities with limited access to potable water;2024-01-31;90000;10;Grant;Private;CL;Marcelo Gabor StartUp Chile CORFO SQM Lithium Ventures
Reite;Computer Vision Internet of Things Retail Technology Software;Santiago Region Metropolitana Chile;Reite transforms fridges cabinets and commercial establishments into intelligent and autonomous points of sale through cameras and AI;2024-05-01;80000;2;PreSeed;Private;CL;StartUp Chile
Speaknosis;Health Care Hospital Medical;Santiago Region Metropolitana Chile;HealthCare ambience analytics for Latam;2024-05-01;80000;1;PreSeed;Private;CL;
FlameSense;Web Development;Santiago Region Metropolitana Chile;FlameSenses aim as a working group is to drive change within what is already established utilizing engineering to provide new answers;2024-07-02;50000;1;Angel;Private;CL;Samuel Lira
Queritelcom;Analytics Artificial Intelligence (AI) Crowdsourcing Freelance Market Research SaaS;Las Condes Region Metropolitana Chile;Queritel is a Latam crowdsourced instore data as a service (DAAS) provider;2024-02-08;25000;4;Grant;Private;CL;StartUp Chile VentureOut Parallel18 Greater St Louis Inc
Kalamardigital;AgTech Digital Marketing Machine Learning;Santiago Region Metropolitana Chile;Kalamar is a “ChatGPT“ that creates campaigns for Google or Meta Ads with just a few clicks simultaneously;2024-02-28;15000;1;PreSeed;Private;CL;StartUp Chile
