Koywe;Billing Blockchain Cryptocurrency FinTech Payments;Santiago Region Metropolitana Chile;Koywe provides payment APIs and SDKs so that any company can start leveraging crypto to offer remittances wallets and investment services;2023-03-31;2000000;2;Seed;Private;CL;Y Combinator Franklin Templeton Goodwater Capital Rebel Fund Hi2 Venture Fund
Forpay;FinTech Payments SaaS Software;Santiago Region Metropolitana Chile;Cloud Saas to automate the collection of recurring fees memberships and subscriptions;2023-04-01;185000;2;Angel;Private;CL;
Mywacc;Artificial Intelligence (AI) Financial Services FinTech Machine Learning;Santiago Region Metropolitana Chile;The next Valuations Bureau Turn data into value Analyze compare and capitalize with Mywacc;2023-04-01;100000;1;Angel;Private;CL;CORFO
BurnoutZero;Enterprise Applications Human Resources Productivity Tools Software;Santiago Region Metropolitana Chile;BurnoutZero is a platform for workplace wellbeing that promotes open communication between companies and employees;2023-04-01;100000;1;Angel;Private;CL;
Sticta Biologicals;Alternative Protein Food and Beverage Meat and Poultry Nutrition;Santiago Region Metropolitana Chile;Sticta Biologicals provides atsite production of yeastderived recombinant proteins and key nutrients for the cellbased meat industry;2023-04-12;137467;1;PreSeed;Private;CL;ProVeg Incubator
Botanitec;Agriculture Biotechnology;Rocas De Santo Domingo Valparaiso Chile;Botanitec designs and produces the biotechnological solutions for the agricultural industry;2023-04-17;4000;1;Grant;Private;CL;Posner Foundation
VITECH by Fukai Data;Data Visualization Internet of Things Mining Mining Technology Predictive Analytics Software;Santiago Region Metropolitana Chile;VITECH is a cuttingedge Al startup that is revolutionizing the way mining companies monitor and analyze their mobile equipment;2023-04-20;20000;2;PreSeed;Private;CL;Aster
HomeIn;Consulting Financial Services PropTech Real Estate Software;Santiago Region Metropolitana Chile;The first housing ecosystem that integrates home solutions and services through a platform with the best financing alternatives;2023-04-30;300000;2;Seed;Private;CL;EBCO Kunder (Acquired by Betterfly) Octavio Pérez de Arce José Montero Echeverría Diego Kuri
pinUp;;Las Condes Region Metropolitana Chile;Connecting brands with influencers for advertising;2023-05-01;115000;1;Angel;Private;CL;
HPI International;EdTech Higher Education SaaS;Santiago Region Metropolitana Chile;HPI International is an edtech company that help higher education institutions get more students and boost student success;2023-05-02;90000;1;Seed;Private;CL;StartUp Chile
ComeS;Agriculture Artificial Intelligence (AI) B2B ECommerce Food and Beverage Information Technology Marketplace Software Supply Chain Management Sustainability;Los Ángeles BioBio Chile;We connect companies with local and diverse suppliers with transparency and traceability;2023-05-05;100000;3;Seed;Private;CL;StartUp Chile devlabs
Rubisco Biotechnology;AgTech Biotechnology Cosmetics Natural Resources;Santiago Region Metropolitana Chile;Rubisco is a biotech company specialized in the development of natural ingredients from the technology of plant cells culture;2023-05-11;750000;1;Venture  Series Unknown;Private;CL;Sudlich Capital
Sheriff;Finance Financial Services Risk Management;Santiago Region Metropolitana Chile;Sheriff is a digital risk management software that allows user to simply manage user debtor portfolio;2023-05-22;500000;1;Angel;Private;CL;
The Earth Says;AgTech Artificial Intelligence (AI) Farming;Santiago Region Metropolitana Chile;The Earth Says facilitates the interaction between farmers and beekeepers through a platform generating benefits for both parties;2023-05-24;80000;7;Convertible Note;Private;CL;Massachusetts Institute of Technology StartUp Chile CORFO 500 Startups: Latam 500 Latin America
LedgiFi;Accounting Bitcoin Cryptocurrency Ethereum Financial Services FinTech Software;Santiago Region Metropolitana Chile;Formerly Krypto Ledgers LedgiFi is the first Cryptocurrency Tax & Portfolio Tracker for LatAm;2023-05-24;80000;5;PreSeed;Private;CL;StartUp Chile devlabs 500 Startups: Latam PwC Tax & Legal Tech Springboard Aster
Drawingsmachines;;Quintero Valparaiso Chile;Drawingsmachines es una empresa dedicada a la gestion de documentacion de profesionales mediante tecnologias innovadoras;2023-05-25;18450;1;PreSeed;Private;CL;
El Ecosistema Startup;EdTech Education Media and Entertainment;Santiago Region Metropolitana Chile;El Ecosistema Startup es una plataforma que ofrece contenido educativo real y auténtico sobre el mundo de las startups;2023-05-28;100000;1;PreSeed;Private;CL;Cristian Tala Sánchez
Ceibo;CleanTech GreenTech Mining Mining Technology;Macul Region Metropolitana Chile;Ceibo develops deploys and operate technologies that support the mining industrys ability to deliver the materials required for Net Zero;2023-06-01;30000000;2;Series B;Private;CL;Khosla Ventures Endeavor Catalyst CoTec Energy Impact Partners Bossanova Investimentos
Ecopass Latam;Concerts Email Event Management Event Promotion Events Internet Nightclubs Reservations Ticketing Wedding;Santiago Region Metropolitana Chile;Technology company that allows creating selling and transmitting physical and online events in Chile and Latin America;2023-06-03;350000;2;Seed;Private;CL;CORFO
CER Analytics;AgTech;Rengo Libertador General Bernardo OHiggins Chile;CER Analytics is an agtech startup that develops business intelligence tools to support decisionmaking in the agricultural industry;2023-06-05;74875;2;Grant;Private;CL;
Hackmetrix;Cloud Security Compliance Cyber Security Security;Santiago Region Metropolitana Chile;Hackmetrix helps startups improve their security complying with industry standars like ISO27k or PCI;2023-06-08;1300000;7;Convertible Note;Private;CL;RaliCap StartUp Chile Cometa Bridge Latam Daedalus Ventures
GrupoTusMaquinas;Construction Marketplace Mining;Santiago Region Metropolitana Chile;GrupoTusMaquinas is a marketplace that offers lending renting leasing selling and financial solutions for industrial machinery;2023-06-16;1200000;2;Seed;Private;CL;
Santo Tomás;Education Training;Concepcion BioBio Chile;Santo Tomás focuses on training capable professionals and technicians with a high sense of social responsibility;2023-06-21;43493210;1;Debt Financing;Private;CL;International Finance Corporation
Engie Energia Chile;Electrical Distribution Energy Energy Management Oil and Gas Renewable Energy;Santiago Region Metropolitana Chile;Engie Energia Chile provides energy solutions transport natural gas and supplies electricity;2023-06-27;400000000;1;Debt Financing;Private;CL;International Finance Corporation ILX
CMPC;Marketing Packaging Services Paper Manufacturing Sales Wood Processing;Santiago Region Metropolitana Chile;CMPC is a forestry company produces markets sells and exports wood products pulp paper and tissue products;2023-06-28;187155298;1;PostIPO Debt;Public;CL;
Caudal;Logistics Marketplace Water;Santiago Region Metropolitana Chile;Caudal is an online platform that provides the urbanized water experience for people who rely on tanker trucks in rural areas;2023-06-30;100000;1;Angel;Private;CL;Platanus
Lummy;Artificial Intelligence (AI) Health Care Mental Health;Santiago Region Metropolitana Chile;Lummy is an online application curated to maintain mental health and managing emotions by providing personalized support and understanding;2023-06-30;100000;1;Angel;Private;CL;Platanus
Regcheq;B2B Compliance Legal Tech;Las Condes Region Metropolitana Chile;Regcheq is the developer of software as a service intended for antimoney laundering regulatory compliance management;2023-07-07;2000000;2;Seed;Private;CL;Taram Capital Consorcio Sable
DataScope;Field Support Information Technology Internet of Things Mining Technology Public Safety Quality Assurance Retail Technology SaaS Software;Santiago Region Metropolitana Chile;DataScope provides solutions to help various industries to streamline organize and evaluate the work of their field staff;2023-07-13;150000;1;Nonequity Assistance;Private;CL;Google for Startups Latino Founders Fund
Wareclouds;ECommerce Logistics Same Day Delivery Software;Santiago Region Metropolitana Chile;Crowdsourcing for ecommerce logistics;2023-07-28;2000000;4;Seed;Private;CL;StartUp Chile 2048 Ventures ChileGlobal Ventures Mike Hennessey Peter Fader
BondUP;ELearning Elderly Social Network Wellness;Santiago Region Metropolitana Chile;BondUP is an online social network platform for seniors;2023-08-01;180000;2;Angel;Private;CL;CORFO
Gokei;Apps Health Insurance InsurTech;Santiago Region Metropolitana Chile;LatAm Health reimagined;2023-08-01;100000;1;PreSeed;Private;CL;Platanus
Club de la Felicidad;Health Care Mental Health Psychology Wellness;Santiago Region Metropolitana Chile;We are a digital ecosystem that empowers employees to take control of their own mental health and wellbeing in the workplace;2023-08-03;200000;1;Angel;Private;CL;
Frankles;Biotechnology CleanTech Food and Beverage GreenTech;Santiago Region Metropolitana Chile;Frankles is a Climate Tech Startup decarbonizing the ingredient industry through NoDex a extraction platform for sustainable ingredient;2023-08-08;150000;10;Grant;Private;CL;MassChallenge Switzerland StartUp Chile Imagine
Talana;ESignature Human Resources Information Technology Internet Robotics Software;Santiago Region Metropolitana Chile;Talana is an HCM platform that offers payroll processing digital signature and many more solutions with an easy to use interface;2023-08-30;8000000;2;Venture  Series Unknown;Private;CL;Altis Venturance
EdiPro;Finance Management Information Systems Property Management SaaS Security Smart Cities;Santiago Region Metropolitana Chile;EdiPro is an Operating System for smart buildings and condominiums;2023-09-01;750000;4;Seed;Private;CL;Invexor Venture Partners Mauricio Zelada
iHunt;Human Resources;Santiago Region Metropolitana Chile;iHunt is Latin Americas largest crowdrecruitment platform with presence in 10 countries within the region;2023-09-01;500000;1;PreSeed;Private;CL;Invexor Venture Partners
Cleanlight;CleanTech Energy Hardware Manufacturing Renewable Energy Solar;Santiago Region Metropolitana Chile;Cleantech Solar Energy Manufacturer;2023-09-02;3200000;3;Debt Financing;Private;CL;Newchip Accelerator Re Royalties
